Unnamed: 0,Chords,Notes_from_Degrees
645,Emin11s,"['""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
646,Emin11b9,"['""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
647,Eminmajs911s,"['""D#4""', '""E4""', '""G4""', '""A#4""', '""B4""']"
648,Eminb711b9,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
649,Eminmaj11,"['""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
650,Eminmaj911s,"['""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
651,Emin11,"['""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
652,Eminb11b9,"['""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
653,Emin13b11b9b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
654,Emin13b9,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
655,Emin1311s,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
656,Emin13b,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
657,Eminmaj13b,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
658,Emin13bb9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
659,Eminmaj13s911s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""A#4""', '""B4""']"
660,Eminb713b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
661,Eminmaj13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
662,Eminmaj1311s,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
663,Emin13,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
664,Emin11b913b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
665,Emin1113b,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
666,Edim7,"['""D4""', '""E4""', '""G4""', '""A#4""']"
667,Edimmaj7,"['""D#4""', '""E4""', '""G4""', '""A#4""']"
668,Edim9,"['""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
669,Edimmaj9,"['""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
670,Edimmajs9,"['""D#4""', '""E4""', '""G4""', '""A#4""']"
671,Edimb9,"['""D4""', '""E4""', '""F4""', '""G4""', '""A#4""']"
672,Edimb79,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
673,Edimb7b9,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A#4""']"
674,Edim7b9,"['""D4""', '""E4""', '""F4""', '""G4""', '""A#4""']"
675,Edim7sus2,"['""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
676,Edimmaj7sus2,"['""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
677,Edim7sus4,"['""D4""', '""E4""', '""G4""', '""A4""', '""A#4""', '""B4""']"
678,Edimmaj7sus4,"['""D#4""', '""E4""', '""G4""', '""A4""', '""A#4""', '""B4""']"
679,Edimadd9,"['""E4""', '""F#4""', '""G4""', '""A#4""']"
680,Edimadd11,"['""E4""', '""G4""', '""A4""', '""A#4""']"
681,Edimadd13,"['""C#4""', '""E4""', '""G4""', '""A#4""']"
682,Edim11s,"['""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
683,Edim11b9,"['""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
684,Edimmajs911s,"['""D#4""', '""E4""', '""G4""', '""A#4""']"
685,Edimb711b9,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
686,Edimmaj11,"['""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
687,Edimmaj911s,"['""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
688,Edim11,"['""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
689,Edimb11b9,"['""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
690,Edim13b11b9b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
691,Edim13b9,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
692,Edim1311s,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
693,Edim13b,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
694,Edimmaj13b,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
695,Edim13bb9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
696,Edimmaj13s911s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""A#4""']"
697,Edimb713b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
698,Edimmaj13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
699,Edimmaj1311s,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
700,Edim13,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
701,Edim11b913b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
702,Edim1113b,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
703,Eaug7,"['""C4""', '""D4""', '""E4""', '""G#4""']"
704,Eaugmaj7,"['""C4""', '""D#4""', '""E4""', '""G#4""']"
705,Eaug9,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""']"
706,Eaugmaj9,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""']"
707,Eaugmajs9,"['""C4""', '""D#4""', '""E4""', '""G4""', '""G#4""']"
708,Eaugb9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""']"
709,Eaugb79,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""']"
710,Eaugb7b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""']"
711,Eaug7b9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""']"
712,Eaug7sus2,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
713,Eaugmaj7sus2,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
714,Eaug7sus4,"['""C4""', '""D4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
715,Eaugmaj7sus4,"['""C4""', '""D#4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
716,Eaugadd9,"['""C4""', '""E4""', '""F#4""', '""G#4""']"
717,Eaugadd11,"['""C4""', '""E4""', '""G#4""', '""A4""']"
718,Eaugadd13,"['""C4""', '""C#4""', '""E4""', '""G#4""']"
719,Eaug11s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
720,Eaug11b9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
721,Eaugmajs911s,"['""C4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
722,Eaugb711b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
723,Eaugmaj11,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
724,Eaugmaj911s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
725,Eaug11,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
726,Eaugb11b9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""']"
727,Eaug13b11b9b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""']"
728,Eaug13b9,"['""C4""', '""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
729,Eaug1311s,"['""C4""', '""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
730,Eaug13b,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
731,Eaugmaj13b,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
732,Eaug13bb9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
733,Eaugmaj13s911s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
734,Eaugb713b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
735,Eaugmaj13,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
736,Eaugmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
737,Eaug13,"['""C4""', '""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
738,Eaug11b913b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
739,Eaug1113b,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
740,Es7,"['""C4""', '""D#4""', '""F4""', '""A4""']"
741,Esmaj7,"['""C4""', '""E4""', '""F4""', '""A4""']"
742,Es9,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
743,Esmaj9,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""']"
744,Esmajs9,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
745,Esb9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
746,Esb79,"['""C4""', '""D4""', '""F4""', '""G4""', '""A4""']"
747,Esb7b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""A4""']"
748,Es7b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
749,Es7sus2,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
750,Esmaj7sus2,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""']"
751,Es7sus4,"['""C4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
752,Esmaj7sus4,"['""C4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
753,Esadd9,"['""C4""', '""F4""', '""G4""', '""A4""']"
754,Esadd11,"['""C4""', '""F4""', '""A4""', '""A#4""']"
755,Esadd13,"['""C4""', '""D4""', '""F4""', '""A4""']"
756,Es11s,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
757,Es11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
758,Esmajs911s,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
759,Esb711b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
760,Esmaj11,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
761,Esmaj911s,"['""C4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
762,Es11,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
763,Esb11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
764,Es13b11b9b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
765,Es13b9,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
766,Es1311s,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
767,Es13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
768,Esmaj13b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
769,Es13bb9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
770,Esmaj13s911s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
771,Esb713b9,"['""C4""', '""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
772,Esmaj13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
773,Esmaj1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
774,Es13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
775,Es11b913b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
776,Es1113b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
777,Esmin7,"['""C4""', '""D#4""', '""F4""', '""G#4""']"
778,Esminmaj7,"['""C4""', '""E4""', '""F4""', '""G#4""']"
779,Esmin9,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""']"
780,Esminmaj9,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""']"
781,Esminmajs9,"['""C4""', '""E4""', '""F4""', '""G#4""']"
782,Esminb9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""']"
783,Esminb79,"['""C4""', '""D4""', '""F4""', '""G4""', '""G#4""']"
784,Esminb7b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""G#4""']"
785,Esmin7b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""']"
786,Esmin7sus2,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""']"
787,Esminmaj7sus2,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""']"
788,Esmin7sus4,"['""C4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
789,Esminmaj7sus4,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
790,Esminadd9,"['""C4""', '""F4""', '""G4""', '""G#4""']"
791,Esminadd11,"['""C4""', '""F4""', '""G#4""', '""A#4""']"
792,Esminadd13,"['""C4""', '""D4""', '""F4""', '""G#4""']"
793,Esmin11s,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
794,Esmin11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
795,Esminmajs911s,"['""C4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
796,Esminb711b9,"['""C4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
797,Esminmaj11,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
798,Esminmaj911s,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
799,Esmin11,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
800,Esminb11b9,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
801,Esmin13b11b9b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
802,Esmin13b9,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
803,Esmin1311s,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
804,Esmin13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
805,Esminmaj13b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
806,Esmin13bb9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
807,Esminmaj13s911s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
808,Esminb713b9,"['""C4""', '""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
809,Esminmaj13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
810,Esminmaj1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
811,Esmin13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
812,Esmin11b913b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
813,Esmin1113b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
814,Esdim7,"['""D#4""', '""F4""', '""G#4""', '""B4""']"
815,Esdimmaj7,"['""E4""', '""F4""', '""G#4""', '""B4""']"
816,Esdim9,"['""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
817,Esdimmaj9,"['""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
818,Esdimmajs9,"['""E4""', '""F4""', '""G#4""', '""B4""']"
819,Esdimb9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
820,Esdimb79,"['""D4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
821,Esdimb7b9,"['""D4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
822,Esdim7b9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
823,Esdim7sus2,"['""C4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
824,Esdimmaj7sus2,"['""C4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
825,Esdim7sus4,"['""C4""', '""D#4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
826,Esdimmaj7sus4,"['""C4""', '""E4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
827,Esdimadd9,"['""F4""', '""G4""', '""G#4""', '""B4""']"
828,Esdimadd11,"['""F4""', '""G#4""', '""A#4""', '""B4""']"
829,Esdimadd13,"['""D4""', '""F4""', '""G#4""', '""B4""']"
830,Esdim11s,"['""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
831,Esdim11b9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
832,Esdimmajs911s,"['""E4""', '""F4""', '""G#4""', '""B4""']"
833,Esdimb711b9,"['""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
834,Esdimmaj11,"['""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
835,Esdimmaj911s,"['""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
836,Esdim11,"['""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
837,Esdimb11b9,"['""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
838,Esdim13b11b9b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
839,Esdim13b9,"['""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
840,Esdim1311s,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
841,Esdim13b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
842,Esdimmaj13b,"['""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
843,Esdim13bb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
844,Esdimmaj13s911s,"['""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
845,Esdimb713b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
846,Esdimmaj13,"['""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
847,Esdimmaj1311s,"['""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
848,Esdim13,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
849,Esdim11b913b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
850,Esdim1113b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
851,Esaug7,"['""C#4""', '""D#4""', '""F4""', '""A4""']"
852,Esaugmaj7,"['""C#4""', '""E4""', '""F4""', '""A4""']"
853,Esaug9,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
854,Esaugmaj9,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""']"
855,Esaugmajs9,"['""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
856,Esaugb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
857,Esaugb79,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""']"
858,Esaugb7b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""']"
859,Esaug7b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
860,Esaug7sus2,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""']"
861,Esaugmaj7sus2,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""']"
862,Esaug7sus4,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
863,Esaugmaj7sus4,"['""C4""', '""C#4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
864,Esaugadd9,"['""C#4""', '""F4""', '""G4""', '""A4""']"
865,Esaugadd11,"['""C#4""', '""F4""', '""A4""', '""A#4""']"
866,Esaugadd13,"['""C#4""', '""D4""', '""F4""', '""A4""']"
867,Esaug11s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
868,Esaug11b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
869,Esaugmajs911s,"['""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
870,Esaugb711b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
871,Esaugmaj11,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
872,Esaugmaj911s,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
873,Esaug11,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
874,Esaugb11b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
875,Esaug13b11b9b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
876,Esaug13b9,"['""C#4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
877,Esaug1311s,"['""C#4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
878,Esaug13b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
879,Esaugmaj13b,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
880,Esaug13bb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
881,Esaugmaj13s911s,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
882,Esaugb713b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
883,Esaugmaj13,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
884,Esaugmaj1311s,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
885,Esaug13,"['""C#4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
886,Esaug11b913b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
887,Esaug1113b,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
888,Fs7,"['""C#4""', '""E4""', '""F#4""', '""A#4""']"
889,Fsmaj7,"['""C#4""', '""F4""', '""F#4""', '""A#4""']"
890,Fs9,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
891,Fsmaj9,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
892,Fsmajs9,"['""C#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
893,Fsb9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
894,Fsb79,"['""C#4""', '""D#4""', '""F#4""', '""G#4""', '""A#4""']"
895,Fsb7b9,"['""C#4""', '""D#4""', '""F#4""', '""G4""', '""A#4""']"
896,Fs7b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
897,Fs7sus2,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
898,Fsmaj7sus2,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
899,Fs7sus4,"['""C#4""', '""E4""', '""F#4""', '""A#4""', '""B4""']"
900,Fsmaj7sus4,"['""C#4""', '""F4""', '""F#4""', '""A#4""', '""B4""']"
901,Fsadd9,"['""C#4""', '""F#4""', '""G#4""', '""A#4""']"
902,Fsadd11,"['""C#4""', '""F#4""', '""A#4""', '""B4""']"
903,Fsadd13,"['""C#4""', '""D#4""', '""F#4""', '""A#4""']"
904,Fs11s,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
905,Fs11b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
906,Fsmajs911s,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
907,Fsb711b9,"['""C#4""', '""D#4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
908,Fsmaj11,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
909,Fsmaj911s,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
910,Fs11,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
911,Fsb11b9,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
912,Fs13b11b9b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
913,Fs13b9,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
914,Fs1311s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
915,Fs13b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
916,Fsmaj13b,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
917,Fs13bb9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
918,Fsmaj13s911s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
919,Fsb713b9,"['""C#4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
920,Fsmaj13,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
921,Fsmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
922,Fs13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
923,Fs11b913b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
924,Fs1113b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
