Unnamed: 0,Chords,Notes_from_Degrees
67,Cminmaj13s911s,"['""C4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
68,Cminb713b9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A4""']"
69,Cminmaj13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
70,Cminmaj1311s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
71,Cmin13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
72,Cmin11b913b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
73,Cmin1113b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
74,Cdim7,"['""C4""', '""D#4""', '""F#4""', '""A#4""']"
75,Cdimmaj7,"['""C4""', '""D#4""', '""F#4""', '""B4""']"
76,Cdim9,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A#4""']"
77,Cdimmaj9,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""B4""']"
78,Cdimmajs9,"['""C4""', '""D#4""', '""F#4""', '""B4""']"
79,Cdimb9,"['""C4""', '""C#4""', '""D#4""', '""F#4""', '""A#4""']"
80,Cdimb79,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A4""']"
81,Cdimb7b9,"['""C4""', '""C#4""', '""D#4""', '""F#4""', '""A4""']"
82,Cdim7b9,"['""C4""', '""C#4""', '""D#4""', '""F#4""', '""A#4""']"
83,Cdim7sus2,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A#4""']"
84,Cdimmaj7sus2,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""B4""']"
85,Cdim7sus4,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G4""', '""A#4""']"
